sample,key,value
session_info_load_06,"duration-last-5min-service","3631"
session_info_load_06,"duration-all-service","17631"
session_info_load_06,"current-service-name",""
session_info_load_06,"cpu-time-current","0"
session_info_load_06,"cpu-time-last-5min","39317"
session_info_load_06,"cpu-time-total","208753"
session_info_load_06,"data-separation","''"
session_info_load_06,"client-ip","127.0.0.1"
session_info_load_07,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_07,"session-id","3"
session_info_load_07,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_07,"connection","e41e750e-56d7-40fb-b2e0-5e71b8e8f508"
session_info_load_07,"process","f77f2c1d-1e5b-4855-a0b9-94390ccd4ce5"
session_info_load_07,"user-name","DefUser"
session_info_load_07,"host","alko-home"
session_info_load_07,"app-id","1CV8C"
session_info_load_07,"locale","ru"
session_info_load_07,"started-at","2026-02-15T00:10:57"
session_info_load_07,"last-active-at","2026-02-16T00:28:41"
session_info_load_07,"hibernate","no"
session_info_load_07,"passive-session-hibernate-time","1200"
session_info_load_07,"hibernate-session-terminate-time","86400"
session_info_load_07,"blocked-by-dbms","0"
session_info_load_07,"blocked-by-ls","6"
session_info_load_07,"bytes-all","27380042"
session_info_load_07,"bytes-last-5min","5830785"
session_info_load_07,"calls-all","22367"
session_info_load_07,"calls-last-5min","4700"
session_info_load_07,"dbms-bytes-all","38620496"
session_info_load_07,"dbms-bytes-last-5min","8290211"
session_info_load_07,"db-proc-info","""5719"""
session_info_load_07,"db-proc-took","8387"
session_info_load_07,"db-proc-took-at","2026-02-16T00:28:42"
session_info_load_07,"duration-all","512380"
session_info_load_07,"duration-all-dbms","22586"
session_info_load_07,"duration-current","9577"
session_info_load_07,"duration-current-dbms","0"
session_info_load_07,"duration-last-5min","87294"
session_info_load_07,"duration-last-5min-dbms","4923"
session_info_load_07,"memory-current","-47080"
session_info_load_07,"memory-last-5min","39698798"
session_info_load_07,"memory-total","592385371"
session_info_load_07,"read-current","16176"
session_info_load_07,"read-last-5min","1404449"
session_info_load_07,"read-total","28452943"
session_info_load_07,"write-current","0"
session_info_load_07,"write-last-5min","228901"
session_info_load_07,"write-total","15379200"
session_info_load_07,"duration-current-service","0"
session_info_load_07,"duration-last-5min-service","3828"
session_info_load_07,"duration-all-service","17828"
session_info_load_07,"current-service-name",""
session_info_load_07,"cpu-time-current","1051"
session_info_load_07,"cpu-time-last-5min","39720"
session_info_load_07,"cpu-time-total","209156"
session_info_load_07,"data-separation","''"
session_info_load_07,"client-ip","127.0.0.1"
session_info_load_08,"session","25510e27-f24a-4586-9ac9-9f7837c0dea1"
session_info_load_08,"session-id","3"
session_info_load_08,"infobase","717bdda7-2f60-4577-b262-f1fc8c0e472c"
session_info_load_08,"connection","e41e750e-56d7-40fb-b2e0-5e71b8e8f508"
